type,name,label::English (en),label::French (fr),label::Arabic (ar),required,default,relevant,appearance,constraint,constraint_message::English (en),constraint_message::French (fr),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::French (fr),hint::Arabic (ar),repeat_count,parameters
integer,less_expensive_quality,"1. Rely on less preferred, less expensive food?",1. Consommer sur des aliments moins préférés et moins chers?,ÇáÇÚÊãÇÏ Úáì ÇáØÚÇã ÇáÃŞá ÊİÖíáÇğ æÇáÃŞá ÊßáİÉ¿,yes,,,,(.>=0 and .<=7),Value must be between 0 and 7,La valeur doit être comprise entre 0 et 7,íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 7 ,,,,,,,
integer,borrow_relatives,2. Borrow food or rely on help from friends or relatives?,2. Demander de la nourriture ou compter avec l'aide des amis ou de parents?,ÇŞÊÑÇÖ ÇáØÚÇã Ãæ ÇáÇÚÊãÇÏ Úáì ãÓÇÚÏÉ ãä ÇáÃÕÏŞÇÁ Ãæ ÇáÃŞÇÑÈ¿,yes,,,,(.>=0 and .<=7),Value must be between 0 and 7,La valeur doit être comprise entre 0 et 7,íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 7 ,,,,,,,
integer,reduce_number_meals,3. Reduce the number of meals eaten per day?,3. Réduire le nombre de repas consommés par jour?,ÊŞáíá ÚÏÏ ÇáæÌÈÇÊ ÇáÊí íÊã ÊäÇæáåÇ íæãíğÇ¿,yes,,,,(.>=0 and .<=7),Value must be between 0 and 7,La valeur doit être comprise entre 0 et 7,íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 7 ,,,,,,,
integer,shrink_meals,4. Reduce the size of portions or meals?,4. Réduire la taille des portions ou des repas?,ÊŞáíá ÍÌã ÇáÍÕÕ Ãæ æÌÈÇÊ ÇáØÚÇã¿,yes,,,,(.>=0 and .<=7),Value must be between 0 and 7,La valeur doit être comprise entre 0 et 7,íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 7 ,,,,,,,
integer,reduce_adult,5. Reduce the quantity consumed by adults so children could eat?,5. Réduire la quantité consommée par les adultes pour que les enfants puissent manger?,ÊŞáíá ÇáßãíÉ ÇáÊí íÓÊåáßåÇ ÇáÈÇáÛæä ÍÊì íÊãßä ÇáÃØİÇá ãä ÊäÇæá ÇáØÚÇã¿,yes,,,,(.>=0 and .<=7),Value must be between 0 and 7,La valeur doit être comprise entre 0 et 7,íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 7 ,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
select_multiple agriculture_production,agricultural_production,"Have you engaged in agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or food consumption during the past year?","Avez-vous participé à la production agricole (agriculture, jardinage, élevage, pêche, etc.) pour gagner de revenus ou encore, à la consommation alimentaire au cours de la dernière année? (Si «oui», vérifiez lesquels s'appliquent.)
","åá ÊÔÇÑß  İí Ãí Ôßá ãä ÃÔßÇá ÇáÅäÊÇÌ ÇáÒÑÇÚí (Úáì ÓÈíá ÇáãËÇá¡ ÒÑÇÚÉ ÇáãÍÇÕíá¡ ÇáÈÓÊäÉ¡ ÊÑÈíÉ ÇáãÇÔíÉ¡ ÇáÕíÏ ÇáÈÍÑí¡ ÅáÎ) áÊæáíÏ ÇáÏÎá Ãæ ááÇÓÊåáÇß ÇáÛĞÇÆí¿",yes,,,,"if(selected(${food_source},'own_production'), not(selected(.,'no')) and not(selected(.,'dk')), not(selected(., 'dk')) and not(selected(., 'dwta')) and not(selected(., 'no')) or count-selected(.)=1)","the options ""I dont know"" , ""I prefer not to answer"" and  ""No"" cannot be selected with other options and the option ""no"" cannot be selected when the food source is ""own production""","les options ""Je ne sais pas"", ""Je préfère ne pas répondre"" et ""Non"" ne peuvent pas être sélectionnées avec d'autres options et l'option ""Non"" ne peut pas être sélectionnée lorsque la source alimentaire est ""Propre project de producation"".","áÇ íãßä ÊÍÏíÏ ÇáÎíÇÑÇÊ ""áÇ ÃÚÑİ"" æ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" æ ""áÇ"" ãÚ ÎíÇÑÇÊ ÃÎÑì æáÇ íãßä ÊÍÏíÏ ÇáÎíÇÑ ""áÇ"" ÚäÏãÇ íßæä ãÕÏÑ ÇáÛĞÇÁ åæ ""ÇáÅäÊÇÌ ÇáÎÇÕ""",,,Multiple choices,Choix multiples,ãÊÚÏÏ ÇáÎíÇÑÇÊ ,,
end_group,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
note,shelter_section,Shelter and NFI,Abri,ÇáãÃæì,,,,,,,,,,,,,,,
begin_group,shelter,Shelter and NFI,Abri,ÇáãÃæì,yes,,,,,,,,,,,,,,
select_one shelter_type,shelter_type,What type of shelter do you live in?,Dans quel type de refuge vivez-vous?,ãÇ åæ äæÚ ÇáãÓßä ÇáĞí ÊÚíÔ İíå¿,yes,,,quick,,,,,,,,,,,
text,shelter_type_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${shelter_type}='other',,,,,,,,,,,,
integer,nb_rooms,How many rooms are in your shelter?,Combien de pièces y a-t-il dans votre domicile?,ßã ÚÏÏ ÇáÛÑİ İí ãäÒáß¿,yes,,${shelter_type}!='outdoors' and ${shelter_type}!='public_building_not_used_for_shelter'  and ${shelter_type}!='private_building_not_used_for_shelter' and ${shelter_type}!='tent_caravan' and ${shelter_type}!='connection_house' and ${shelter_type}!='camp_informal_settlement',,,,,,,,,,,,
select_one occupancy_status,occupancy_status,How would you describe your occupancy status?,"Comment décririez-vous votre statut d'occupation?
",ßíİ íãßä æÕİ æÖÚíÉ Óßäß¿,yes,,${shelter_type}!='outdoors' ,quick,"if(${shelter_type}='public_building_not_used_for_shelter' or ${shelter_type}='temporary_shelter_ngos' or ${shelter_type}='camp_informal_settlement', . != 'ownership' and .!= 'rental_written_contract' and .!= 'rental_verbal_agreement',count-selected(.)=1)",the shelter type selected above cannot be owned nor rented,le type d'abri choisi ci-dessus ne peut être ni possédé ni loué,"áÇ íãßä ÇãÊáÇß Ãæ ÇÓÊÆÌÇÑ äæÚ ÇáãÃæì ÇáãÍÏÏ ÃÚáÇå
",,,,,,,
text,occupancy_status_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${occupancy_status}='other',,,,,,,,,,,,
integer,rental_cost,How much does your rental property cost per month (in LYD)?,Combien coûte votre propriété locative par mois (en LYD)?,ßã ÊÈáÛ ÊßáİÉ ÇÓÊÆÌÇÑ ãäÒáß ÔåÑíğÇ (ÈÇáÏíäÇÑ ÇááíÈí)¿,yes,,${occupancy_status}='rental_written_contract' or ${occupancy_status}='rental_verbal_agreement',.>0,,,,,,,,,,,
select_one change_rental,change_rental,Has the rent increased or decreased since the beginning of 2019?,Le loyer a-t-il augmenté ou diminué depuis le début de 2019?,åá ÒÇÏ ÇáÅíÌÇÑ Ãæ ÇäÎİÖ ãäĞ ÈÏÇíÉ ÚÇã 2019¿,yes,,${occupancy_status}='rental_written_contract' or ${occupancy_status}='rental_verbal_agreement',quick,,,,,,,,,,,
select_one hosted_free_by,hosted_free_by,Who is hosting you for free?,Qui vous héberge gratuitement?,ãä íÓÊÖíİß ãÌÇäğÇ¿,yes,,${occupancy_status}='hosted_free',quick,,,,,,,,,,,
text,hosted_free_by_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${hosted_free_by}='other',,,,,,,,,,,,
select_multiple shelter_related_concerns,shelter_related_concerns,What are your main shelter-related concerns?,Quelles sont vos principales préoccupations liées au logement?,ãÇ åí ãÎÇæİß ÇáÑÆíÓíÉ ÇáãÊÚáŞÉ ÈÇáÓßä¿,yes,,,,"not(selected(.,'dk')) and not(selected(.,'dwta')) and not(selected(.,'no_shelter_related_concerns')) and not(selected(.,'there_is_no_shelter')) and count-selected(.)<=3 or count-selected(.)=1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options. 3 options Maximum","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options. 3 options maximum","áÇ íãßä ÅÎÊíÇÑ ""áÇ ÃÚáã"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÇÎÊíÇÑÇÊ ÃÎÑì. 3 ÎíÇÑÇÊ ßÍÏ ÃŞÕì",,,,,,,
text,shelter_related_concerns_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${shelter_related_concerns},'other')",,,,,,,,,,,,
select_one damage_type,shelter_condition,How would you describe the overall condition of your shelter? Please refer to the reference pictures below.,Comment décririez-vous l'état général de votre foyer? Veuillez consulter les photos de référence ci-dessous,ßíİ ÊÕİ ÇáÍÇáÉ ÇáÚÇãÉ áãÓßäß¿ íÑÌì ÇáÑÌæÚ Åáì ÇáÕæÑ ÇáãÑÌÚíÉ ÃÏäÇå.,yes,,${shelter_type}!='outdoors' and ${occupancy_status}!='living_inthe_streets',quick,,,,,,,"Shelters that were damaged in the past but have been fully repaired should be coded as ""No damage / negligible damage.","Les abris qui ont été endommagés dans le passé, mais ont été entièrement réparés doivent être codés comme ""Pas de dommages / dommages négligeables.""","ÇáãäÇÒá ÇáÊí ÊÖÑÑÊ İí ÇáãÇÖí æáßä Êã ÅÕáÇÍåÇ ÈÇáßÇãá íÌÈ Çä ÊÓÌá Úáì ÃäåÇ ""áÇ ÖÑÑ / ÖÑÑ áÇ íßÇÏ íĞßÑ""",,
select_multiple live_with_who,live_with_who,Who do you live with?,Vous habitez avec qui?,ãÚ ãä ÊÚíÔ¿,yes,,,,"not(selected(.,'dk')) and not(selected(.,'dwta')) and not(selected(.,'live_alone')) or count-selected(.)=1","Cannot select ""I dont know"" or ""I prefer not to answer"" or ""I live alone"" wirh other option. 3 options Maximum","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" ou ""Je vis seul"" avec une autre option. 3 options maximum","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" Ãæ ""ÃÚíÔ æÍÏí"" ãÚ ÎíÇÑ ÂÎÑ. 3 ÎíÇÑÇÊ ÇáÍÏ ÇáÃŞÕì",,,"If the respondent lives in a large open shelter (like a warehouse, a work site with bunk beds, etc.), they should refer to the people currently living in the shelter with them.
If the respondent lives in a divided building, they should refer to the people sharing rooms that they personally use.
If the respondent lives in an undivided house, they should refer to the people curently living in the house with them","Si le répondant vit dans un grand bâtiment ouvert (comme un entrepôt, un site de travail avec des lits superposés, etc.), il doit faire référence aux personnes qui vivent actuellement dans le domicile avec lui.
Si le répondant vit dans un bâtiment divisé, il doit faire référence aux personnes partageant les chambres qu’il utilise personnellement.
Si le répondant vit dans une maison non divisée, il doit faire référence aux personnes qui vivent actuellement dans la maison avec lui ","ÅĞÇ ßÇä ÇáãÓÊæÌæÈ íÚíÔ İí ãÃæì ßÈíÑ ãİÊæÍ (ãËá ÇáãÓÊæÏÚ ¡ æãæŞÚ ÇáÚãá ãÚ ÃÓöÑøÉ ÈØÇÈŞíä ¡ æãÇ Åáì Ğáß) ¡ İÚáíåã ÇÍÊÓÇÈ ÇáÃÔÎÇÕ ÇáĞíä íÚíÔæä ÍÇáíğÇ İí ÇáãÃæì ãÚåã.
ÅĞÇ ßÇä ÇáãÓÊæÌæÈ íÚíÔ İí ãÈäì ãŞÓã ¡ İíÌÈ Ãä íÍÊÓÈ ÇáÃÔÎÇÕ ÇáĞíä íÔÇÑßæä ÇáÛÑİ ÇáÊí íÓÊÎÏãæäåÇ ÔÎÕíğÇ.
ÅĞÇ ßÇä ÇáãÓÊæÌæÈ íÚíÔ İí ãäÒá ÛíÑ ãŞÓã ¡ İÚáíå ÇÍÊÓÇÈ ÇáÃÔÎÇÕ ÇáĞíä íÚíÔæä ãÚå İí ÇáãäÒá",,
text,live_with_who_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${live_with_who},'other')",,,,,,,,,,,,
integer,nb_people_share_accomodation,How many people do you share your accommodation with?,Avec combien de personnes partagez-vous votre logement?,ßã ÚÏÏ ÇáÃÔÎÇÕ ÇáĞíä ÊÔÇÑßåã ÇáãÓßä¿,yes,,"not(selected(${live_with_who},'live_alone')) and ${shelter_type}!='outdoors' ",,,,,,,,"If the respondent lives in a large open shelter (like a warehouse, a work site with bunk beds, etc.), they should estimate the total number of people currently living in the shelter with them.
If the respondent lives in a divided building, they should only count the people sharing the rooms they personally live in.","Si le répondant vit dans un grand abri ouvert (comme un entrepôt, un lieu de travail avec lits superposés, etc.), il devrait estimer le nombre total de personnes qui vivent actuellement dans le refuge avec lui\elle
Si le répondant vit dans un immeuble divisé, il ne devrait compter que les personnes qui partagent les chambres dans laquelle il\elle vivent personnellement."," ÅĞÇ ßÇä ÇáãÓÊÌæÈ íÚíÔ İí Óßä ãİÊæÍ ßÈíÑ (ãËá ÇáãÓÊæÏÚ¡ ÃæãæŞÚ ÇáÚãá ãÚ ÃÓÑøÉ ÈØÇÈŞíä¡ æãÇ Åáì Ğáß)¡ íÌÈ Úáíå ÊŞÏíÑ ÇáÚÏÏ ÇáÅÌãÇáí ááÃÔÎÇÕ ÇáĞíä íÚíÔæä İí ÇáãÓßä ãÚå ÍÇáíğÇ.
ÅĞÇ ßÇä ÇáãÓÊÌæÈ íÚíÔ İí ãÈäì ãŞÓã¡ İíÌÈ Úáíå İŞØ ÍÓÇÈ ÇáÃÔÎÇÕ ÇáĞíä íÔÇÑßæä ÇáÛÑİ ÇáÊí íÚíÔæä İíåÇ ÔÎÕíÇ.",,
select_one yes_no_dk_dwta,cooking_bathing_toile_facilities_seperated,Is your cooking space separated from the rest of your living space?,Votre espace de cuisinage est-il séparé du reste de votre espace de vie?,åá ãÓÇÍÉ ÇáØåí ãäİÕáÉ Úä ÈŞíÉ ãÓÇÍÉ ÇáãÚíÔÉ ÇáÎÇÕÉ Èß¿,yes,,${shelter_type}!='outdoors' ,quick,,,,,,,,,,,
integer,total_area_accomodation,What is the total area (m²) of your accommodation (excluding the cooking space and bathing/toilet facilities if they are separate)?,Quelle est la superficie totale (m²) de votre hébergement (à l'exclusion de l'espace de cuisson et des installations de baignade/toilettes si elles sont séparées)?,ãÇ åí ÇáãÓÇÍÉ ÇáßáíÉ (ã²) áÓßäß (ÈÇÓÊËäÇÁ ãÓÇÍÉ ÇáØåí æãÑÇİŞ ÇáÇÓÊÍãÇã / ÇáãÑÍÇÖ ÅĞÇ ßÇäÊ ãäİÕáÉ),yes,,${shelter_type}!='outdoors' ,,,,,,,,"If the respondent lives in a large open shelter (like a warehouse, a work site with bunk beds, etc.), they should estimate the total area of the shelter.
If the respondent lives in a divided building, they should estimate the area of the rooms they personally live in."," Si le répondant vit dans un grand abri ouvert (comme un entrepôt, un lieu de travail avec lits superposés, etc.), il devrait estimer la superficie totale de l'abri.
Si le répondant vit dans un immeuble divisé, il doit estimer la superficie des chambres dans laquelle il vit personnellement.","ÅĞÇ ßÇä ÇáãÓÊÌæÈ íÚíÔ İí ãÃæì ãİÊæÍ ßÈíÑ (ãËá ÇáãÓÊæÏÚ¡ æãæŞÚ ÇáÚãá ãÚ ÃÓÑøÉ ÈØÇÈŞíä ¡ æãÇ Åáì Ğáß)¡ íÌÈ Úáíåã ÊŞÏíÑ ÇáãÓÇÍÉ ÇáÅÌãÇáíÉ ááãÃæì.
ÅĞÇ ßÇä ÇáãÓÊÌæÈ íÚíÔ İí ãÈäì ãŞÓã¡ İÚáíå ÊŞÏíÑ ãÓÇÍÉ ÇáÛÑİ ÇáÊí íÚíÔæä İíåÇ ÔÎÕíÇ.",,
select_multiple access_shelter_challenges,access_shelter_challenges,What are the biggest challenges you face in accessing shelter?,Quels sont les plus grands défis auxquels vous rencontrez pour accéder au logement?,ãÇ åí ÃßÈÑ ÇáÕÚæÈÇÊ ÇáÊí ÊæÇÌååÇ İí ÇáÍÕæá Åáì ÇáÓßä¿,yes,,,,"not(selected(.,'dk')) and not(selected(.,'dwta')) and not(selected(.,'no_challenge_access_shelter')) and count-selected(.)<=3 or count-selected(.)=1","Cannot select ""I dont know"" or ""I prefer not to answer"" or ""Do not face any challenge  with other option. 3 options Maximum","Ne peut pas sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" ou ""Ne fais pas face à un défi"" avec une autre option. 3 options Maximum","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" Ãæ ""áÇ ÊæÇÌå Ãí ÊÍÏò"" ãÚ ÎíÇÑ ÂÎÑ. 3 ÎíÇÑÇÊ ÇáÍÏ ÇáÃŞÕì",,,,,,,
text,access_shelter_challenges_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${access_shelter_challenges},'other')",,,,,,,,,,,,
select_one eviction_threat,eviction_threat,Have you experienced eviction or the threat of eviction within the past 6 months?,"Avez-vous été expulsé ou menacé d'expulsion au cours des 6 derniers mois?
",åá ÊÚÑÖÊ (İí 6 ÃÔåÑÇáãÇÖíÉ) ááÅÎáÇÁ Ãæ ÇáÊåÏíÏ ÈÇáÅÎáÇÁ ŞÓÑÇ¿,yes,,${shelter_type}!='outdoors' ,quick,,,,,,,,,,,
select_multiple eviction_shelter_reasons,eviction_shelter_reasons,Why do you think you were evicted / threatened with eviction?,Pourquoi pensez-vous avoir été expulsé / menacé d'expulsion?, áãÇĞÇ ÊÚÊŞÏ Ãäß ãåÏÏ ÈÇáÅÎáÇÁ / Êã ÅÎáÇÄß ãÄÎÑÇ¿,yes,,${eviction_threat}='yes_threatened_with_eviction' or ${eviction_threat}='yes_recently_evicted',,"not(selected(.,'dk')) and not(selected(.,'dwta')) or count-selected(.)=1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options.","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options.","áÇ íãßä ÅÎÊíÇÑ ""áÇ ÃÚáã"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÇÎÊíÇÑÇÊ ÃÎÑì. ",,,,,,,
text,eviction_shelter_reasons_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${eviction_shelter_reasons},'other')",,,,,,,,,,,,
begin_group,hh_objects_list,Select one of the following options for each item on the list of household objects.,Sélectionnez l'une des options suivantes pour chaque élément de la liste des objets ménagers.,ÍÏÏ ÃÍÏ ÇáÎíÇÑÇÊ ÇáÊÇáíÉ áßá ÚäÕÑ İí ŞÇÆãÉ ÇáÃÛÑÇÖ ÇáãäÒáíÉ.,yes,,,,,,,,,,,,,,
select_one hh_basic_items,mattresses,1. Mattresses,1. Les matelas,ãÑÇÊÈ (ãİÑÔ Çáäæã),yes,,,quick,,,,,,,,,,,
text,mattresses_other,"If other, Please specify", Autres (Veuillez spécifier s'il vous plait),"ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${mattresses}='other',,,,,,,,,,,,
select_one hh_basic_items,blankets,2. Blankets,2. Couvertures,ÇáÈØÇäíÇÊ,yes,,,quick,,,,,,,,,,,
text,blankets_other,"If other, Please specify", Autres (Veuillez spécifier s'il vous plait),"ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${blankets}='other',,,,,,,,,,,,
select_one hh_basic_items,bedding_items,"3. Bedding items (sheets, pillows)","3. Articles de literie (feuilles, oreillers)"," ãÓÊáÒãÇÊ ÇáİÑÇÔ (ãáÇÁÇÊ ¡ ÇáæÓÇÆÏ)",yes,,,quick,,,,,,,,,,,
text,bedding_items_other,"If other, Please specify", Autres (Veuillez spécifier s'il vous plait),"ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${bedding_items}='other',,,,,,,,,,,,
select_one hh_basic_items,clothing_cold_weather,4. Clothing for cold weather,4. Vêtements pour le froid,ãáÇÈÓ ááØŞÓ ÇáÈÇÑÏ,yes,,,quick,,,,,,,,,,,
text,clothing_cold_weather_other,"If other, Please specify", Autres (Veuillez spécifier s'il vous plait),"ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${clothing_cold_weather}='other',,,,,,,,,,,,
select_one hh_basic_items,heating_systems,5. Heating systems,5. Systèmes de chauffage,ÃäÙãÉ ÇáÊÏİÆÉ,yes,,,quick,,,,,,,,,,,
text,heating_systems_other,"If other, Please specify", Autres (Veuillez spécifier s'il vous plait),"ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${heating_systems}='other',,,,,,,,,,,,
select_one hh_basic_items,gas_electric_stove,6. Gas/electric stove ,6. Poêle à gaz/électrique ,ÇáÛÇÒ / ãæŞÏ ßåÑÈÇÆí,yes,,,quick,,,,,,,,,,,
text,gas_electric_stove_other,"If other, Please specify", Autres (Veuillez spécifier s'il vous plait),"ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${gas_electric_stove}='other',,,,,,,,,,,,
select_one hh_basic_items,cooking_set,7. Cooking set/items                                   ,7. Ensemble/articles de cuisson                                   ,ÃÏæÇÊ/ãÓÊáÒãÇÊ ÇáãØÈÎ,yes,,,quick,,,,,,,,,,,
text,cooking_set_other,"If other, Please specify", Autres (Veuillez spécifier s'il vous plait),"ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${cooking_set}='other',,,,,,,,,,,,
select_one hh_basic_items,mosquito_nets,8. Mosquito nets                                                     ,8. Moustiquaires                                                     ,ÇáäÇãæÓíÇÊ,yes,,,quick,,,,,,,,,,,
text,mosquito_nets_other,"If other, Please specify", Autres (Veuillez spécifier s'il vous plait),"ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${mosquito_nets}='other',,,,,,,,,,,,
select_one hh_basic_items,water_storage_containers,"9. Water storage containers (water tank, jerry cans, etc.)","9. Récipients de stockage d'eau (réservoir d'eau, jerrycans, etc.)","ÎÒÇäÇÊ ÇáãíÇå (ÈíÏæä/ ÌÇáæä ¡ ÅáÎ.)",yes,,,quick,,,,,,,,,,,
text,water_storage_containers_other,"If other, Please specify", Autres (Veuillez spécifier s'il vous plait),"ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${water_storage_containers}='other',,,,,,,,,,,,
select_one hh_basic_items,solar_lamp,10. Solar lamp,10. Lampe solaire, ãÕÈÇÍ ááØÇŞÉ ÇáÔãÓíÉ,yes,,,quick,,,,,,,,,,,
text,solar_lamp_other,"If other, Please specify", Autres (Veuillez spécifier s'il vous plait),"ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${solar_lamp}='other',,,,,,,,,,,,
